SHIP'S NAME,AKA,SHIP'S OWNER,VESSEL TYPE,YEAR BUILT,WHERE BUILT,DATE LOST,YEAR,MNTH,DAY,LOCATION LOST,LATITUDE LOST,LONGITUDE LOST,CAUSE OF LOSS,CONSTRUCTION,FLAG,LENGTH,BEAM,DRAFT,GROSS TONNAGE,NET TONNAGE,HOME (HAILING) PORT,DEPARTURE PORT,DESTINATION PORT,MASTER,# CREW,# PASS,LIVES LOST,SHIP VALUE,CARGO VALUE,NATURE OF CARGO,USLSS STATION NAME,LOST,PHOTO ON FILE,MISC INFORMATION,MUSEUM CROSS REFERENCE
A B Crosby,,,Schooner,1884,,3/12/1888,1888,3,12,Atlantic Highlands,,,Stranded,,England,,,,,,"Aspinwall, PA","Porto Bello, Panama","New York, NY",Masters,,,0,,,Coconuts,,N,N,Refloated; Made New York 3/26/1888,
A F Crockett,,,Schooner,1881,"Bath, ME",5/21/1894,1894,5,21,Harvey Cedars NE .5 mi,,,Stranded,Wood,US,141,31,1,434,412,"Rockland, ME","Brunswick, GA","New York, NY",Thorndike,7,0,0,16000,7000,Lumber,Harvey Cedars,,N,#106034; Total loss,
A Field,A D Field,,Schooner,,,2/10/1852,1852,2,10,Deal Beach,,,Stranded,,,,,,,,,"Cardenas, Mexico","New York, NY",,10,,1,,,,,,N,"aka ""A D Field""",
A J Bentley,,Bentley & Gildersleeve,Schooner,1865,"Hartford, CT",5/27/1873,1873,5,27,Barnegat,,,Collision,Wood,,,,10,290,,"New Haven, CT","Georgetown, DC","New York, NY",Williams,,,,,,,,N,N,Partial loss; Towed to New Haven,
A L Lee (1897),,,Schooner,1884,"Mays Landing, NJ",3/25/1897,1897,3,25,Ocean City LSS E .5 mi,,,Stranded,Wood,US,83,27,5.6,87,83,"Somers Point, NJ","Somers Point, NJ","Haverstraw, NY",Gaskill,5,,0,5000,0,None,Ocean City,N,N,#106301; Refloated,
Abbie E Campbell,,Maxon Fish et al,Schooner,1866,"Mystic, CT",9/14/1873,1873,9,14,Brigantine Shoal,,,Stranded,,,,,12,332,,"Mystic, CT","Georgetown, DC","New York, NY",Dennison,,,,12000,,500 ton coal,,Y,N,Total loss,
Abbie H Gheen,,E G Taulane,Schooner,1880,,6/27/00,1900,6,27,Manasquan Inlet,,,Collision,Wood,,128,30.8,9,266,253,"Philadelphia, PA","Norfolk, VA","New York, NY",John Taylor,6,,0,8000,,Lumber,,,N,#105952,
Abiel Abbot,,Abiel Abbot,Bark,1874,"Boston, MA",1/20/03,1903,1,20,Ship Bottom LSS S .5 mi,,,Stranded,Wood,US,136,32.5,17,589,560,"New York, NY","Salt Key, Turks Island","New York, NY",Isaac B Hawkins,9,0,5,8000,3000,Salt,Long Beach Island & Ship Bottom,Y,Y,#105479; Total loss,
Achille S / Achilles,,,Brig,1870,,2/21/1882,1862,2,21,Little Egg LSS E,,,Stranded,,US,,,,288,,Austria,"Montevideo, SA","New York, NY",Turcich,9,0,0,7000,90000,Hides,#23,,N,,
Addie E Sleeper,,,Bark,,,1/4/1879,1879,1,4,Highlands,,,Mechanical damage,,US,,,,591,,,"Aspinwall, Central America","New York, NY",,,,3,,,Old iron,,N,N,Partial loss,
